,0
A1,1017.0
A2,1017.0
A3,1040.0
A4,1140.0
A5,1131.0
A6,1073.0
A7,1447.0
A8,1487.0
A9,1038.0
A10,985.0
A11,1124.0
A12,1842.0
B1,838.0
B2,886.0
B3,914.0
B4,1116.0
B5,1016.0
B6,946.0
B7,1050.0
B8,971.0
B9,984.0
B10,980.0
B11,1033.0
B12,983.0
C1,753.0
C2,796.0
C3,1038.0
C4,920.0
C5,944.0
C6,892.0
C7,831.0
C8,1034.0
C9,938.0
C10,1315.0
C11,1010.0
C12,869.0
D1,775.0
D2,806.0
D3,899.0
D4,913.0
D5,892.0
D6,941.0
D7,1087.0
D8,887.0
D9,870.0
D10,853.0
D11,839.0
D12,900.0
E1,781.0
E2,808.0
E3,904.0
E4,917.0
E5,955.0
E6,1054.0
E7,981.0
E8,1019.0
E9,887.0
E10,895.0
E11,889.0
E12,956.0
F1,733.0
F2,738.0
F3,927.0
F4,820.0
F5,859.0
F6,853.0
F7,791.0
F8,844.0
F9,812.0
F10,953.0
F11,818.0
F12,819.0
G1,735.0
G2,754.0
G3,804.0
G4,867.0
G5,913.0
G6,862.0
G7,832.0
G8,837.0
G9,888.0
G10,801.0
G11,806.0
G12,809.0
H1,807.0
H2,797.0
H3,1001.0
H4,1077.0
H5,921.0
H6,832.0
H7,899.0
H8,861.0
H9,829.0
H10,828.0
H11,835.0
H12,843.0
