,0
A1,0.0235
A2,0.0222
A3,0.0223
A4,0.0224
A5,0.0228
A6,0.0225
A7,0.0225
A8,0.0223
A9,0.0233
A10,0.0234
A11,0.0241
A12,0.0242
B1,0.0226
B2,0.0296
B3,0.0218
B4,0.0218
B5,0.0222
B6,0.0223
B7,0.0227
B8,0.0216
B9,0.0219
B10,0.0221
B11,0.0225
B12,0.022
C1,0.0222
C2,0.0227
C3,0.0214
C4,0.022
C5,0.0219
C6,0.022
C7,0.022
C8,0.0224
C9,0.0218
C10,0.0231
C11,0.0224
C12,0.0217
D1,0.0248
D2,0.0277
D3,0.0248
D4,0.0301
D5,0.0272
D6,0.0308
D7,0.0255
D8,0.026
D9,0.0242
D10,0.0268
D11,0.0251
D12,0.0244
E1,0.0226
E2,0.0223
E3,0.0236
E4,0.0227
E5,0.0233
E6,0.0234
E7,0.0228
E8,0.0234
E9,0.0221
E10,0.0245
E11,0.0237
E12,0.0226
F1,0.0218
F2,0.0216
F3,0.0219
F4,0.0213
F5,0.0215
F6,0.0219
F7,0.0219
F8,0.0223
F9,0.0216
F10,0.0233
F11,0.0226
F12,0.0246
G1,0.0234
G2,0.0253
G3,0.0271
G4,0.0258
G5,0.0256
G6,0.0268
G7,0.0259
G8,0.0259
G9,0.0251
G10,0.0257
G11,0.0251
G12,0.023
H1,0.0332
H2,0.0361
H3,0.0409
H4,0.0418
H5,0.0383
H6,0.0403
H7,0.0378
H8,0.0407
H9,0.0358
H10,0.0389
H11,0.0386
H12,0.0286
