,0
A1,4019.0
A2,1415.0
A3,4224.0
A4,1566.0
A5,4180.0
A6,1640.0
A7,5311.0
A8,2316.0
A9,6359.0
A10,2255.0
A11,6023.0
A12,1475.0
B1,4203.0
B2,1594.0
B3,4272.0
B4,1679.0
B5,4333.0
B6,1678.0
B7,4180.0
B8,1710.0
B9,4719.0
B10,2160.0
B11,6874.0
B12,1549.0
C1,4551.0
C2,1533.0
C3,4885.0
C4,1784.0
C5,4896.0
C6,1735.0
C7,6193.0
C8,2372.0
C9,6861.0
C10,2372.0
C11,6541.0
C12,1728.0
D1,7639.0
D2,1849.0
D3,8437.0
D4,2070.0
D5,8245.0
D6,2224.0
D7,8015.0
D8,2386.0
D9,8701.0
D10,2271.0
D11,8841.0
D12,1802.0
E1,3965.0
E2,1836.0
E3,4094.0
E4,1926.0
E5,4249.0
E6,2191.0
E7,5156.0
E8,2364.0
E9,5683.0
E10,2471.0
E11,5614.0
E12,2047.0
F1,8299.0
F2,1653.0
F3,8312.0
F4,1875.0
F5,8426.0
F6,1852.0
F7,9999.0
F8,2231.0
F9,10371.0
F10,2417.0
F11,9940.0
F12,1948.0
G1,8532.0
G2,12774.0
G3,9114.0
G4,12690.0
G5,8328.0
G6,7493.0
G7,9277.0
G8,9381.0
G9,10455.0
G10,9258.0
G11,10290.0
G12,19143.0
H1,3372.0
H2,1669.0
H3,3415.0
H4,1804.0
H5,3218.0
H6,2149.0
H7,3993.0
H8,2277.0
H9,4741.0
H10,2061.0
H11,4498.0
H12,1709.0
