,fluorescence,Ligand (uM),p38 (uM)
A1,5212,20,1
A2,3124,20,0
A3,5275,20,1
A4,3141,20,0
A5,5195,20,1
A6,3094,20,0
A7,4746,20,1
A8,2089,20,0
A9,4336,20,1
A10,2009,20,0
A11,4282,20,1
A12,3228,20,0
B1,6820,20,1
B2,2595,20,0
B3,7068,20,1
B4,2425,20,0
B5,7255,20,1
B6,2614,20,0
B7,6836,20,1
B8,2621,20,0
B9,6368,20,1
B10,2086,20,0
B11,5436,20,1
B12,2768,20,0
C1,7878,20,1
C2,1204,20,0
C3,8094,20,1
C4,1193,20,0
C5,7775,20,1
C6,1267,20,0
C7,8125,20,1
C8,1093,20,0
C9,8230,20,1
C10,1226,20,0
C11,8185,20,1
C12,1144,20,0
D1,15361,20,1
D2,7774,20,0
D3,14377,20,1
D4,8603,20,0
D5,13675,20,1
D6,7900,20,0
D7,10274,20,1
D8,3215,20,0
D9,4856,20,1
D10,2717,20,0
D11,5521,20,1
D12,8641,20,0
E1,66351,20,1
E2,66419,20,0
E3,66800,20,1
E4,70373,20,0
E5,89387,20,1
E6,91914,20,0
E7,104946,20,1
E8,79508,20,0
E9,92477,20,1
E10,65762,20,0
E11,83270,20,1
E12,91353,20,0
F1,25707,20,1
F2,24286,20,0
F3,33857,20,1
F4,24380,20,0
F5,30672,20,1
F6,25034,20,0
F7,12680,20,1
F8,5903,20,0
F9,9601,20,1
F10,5219,20,0
F11,11697,20,1
F12,10359,20,0
G1,66760,20,1
G2,23162,20,0
G3,75465,20,1
G4,23373,20,0
G5,59021,20,1
G6,26578,20,0
G7,31936,20,1
G8,8326,20,0
G9,9001,20,1
G10,7352,20,0
G11,9708,20,1
G12,11957,20,0
H1,3595,20,1
H2,7047,20,0
H3,3170,20,1
H4,7065,20,0
H5,5161,20,1
H6,5829,20,0
H7,2271,20,1
H8,4750,20,0
H9,1726,20,1
H10,4631,20,0
H11,1612,20,1
H12,22220,20,0
