,0
A1,204.0
A2,175.0
A3,205.0
A4,185.0
A5,203.0
A6,188.0
A7,302.0
A8,249.0
A9,199.0
A10,176.0
A11,240.0
A12,986.0
B1,166.0
B2,274.0
B3,160.0
B4,172.0
B5,174.0
B6,151.0
B7,209.0
B8,158.0
B9,175.0
B10,159.0
B11,192.0
B12,822.0
C1,216.0
C2,152.0
C3,213.0
C4,215.0
C5,238.0
C6,186.0
C7,217.0
C8,278.0
C9,239.0
C10,224.0
C11,231.0
C12,1117.0
D1,185.0
D2,152.0
D3,187.0
D4,162.0
D5,188.0
D6,163.0
D7,223.0
D8,156.0
D9,181.0
D10,149.0
D11,176.0
D12,2856.0
E1,252.0
E2,196.0
E3,300.0
E4,191.0
E5,289.0
E6,202.0
E7,296.0
E8,299.0
E9,293.0
E10,202.0
E11,318.0
E12,16275.0
F1,180.0
F2,140.0
F3,166.0
F4,144.0
F5,172.0
F6,155.0
F7,185.0
F8,152.0
F9,176.0
F10,191.0
F11,206.0
F12,1817.0
G1,165.0
G2,142.0
G3,144.0
G4,146.0
G5,162.0
G6,151.0
G7,155.0
G8,150.0
G9,170.0
G10,140.0
G11,197.0
G12,1827.0
H1,211.0
H2,165.0
H3,197.0
H4,217.0
H5,429.0
H6,184.0
H7,186.0
H8,172.0
H9,184.0
H10,762.0
H11,221.0
H12,4633.0
