,0
A1,14805.0
A2,6480.0
A3,15361.0
A4,7618.0
A5,15531.0
A6,7814.0
A7,15663.0
A8,7925.0
A9,15560.0
A10,7354.0
A11,15096.0
A12,6039.0
B1,15466.0
B2,6720.0
B3,15674.0
B4,7020.0
B5,15827.0
B6,7239.0
B7,15852.0
B8,7739.0
B9,16040.0
B10,7150.0
B11,15886.0
B12,6201.0
C1,14223.0
C2,5887.0
C3,14973.0
C4,6881.0
C5,14547.0
C6,6664.0
C7,14250.0
C8,6760.0
C9,14459.0
C10,6573.0
C11,14508.0
C12,5979.0
D1,15069.0
D2,6062.0
D3,15583.0
D4,6461.0
D5,15140.0
D6,6582.0
D7,14027.0
D8,5825.0
D9,14870.0
D10,6227.0
D11,15208.0
D12,5840.0
E1,12527.0
E2,5926.0
E3,12978.0
E4,6611.0
E5,13273.0
E6,7717.0
E7,13002.0
E8,6391.0
E9,12543.0
E10,6502.0
E11,12516.0
E12,5972.0
F1,14388.0
F2,5650.0
F3,14821.0
F4,6300.0
F5,14641.0
F6,6449.0
F7,14667.0
F8,6060.0
F9,14805.0
F10,6117.0
F11,14483.0
F12,5670.0
G1,14740.0
G2,5914.0
G3,15405.0
G4,6356.0
G5,15250.0
G6,6401.0
G7,14962.0
G8,6455.0
G9,15006.0
G10,6199.0
G11,15015.0
G12,10809.0
H1,14390.0
H2,5746.0
H3,14409.0
H4,6456.0
H5,14382.0
H6,6191.0
H7,13940.0
H8,6300.0
H9,13905.0
H10,6110.0
H11,13965.0
H12,5945.0
