,0
A1,0.0279
A2,0.0228
A3,0.0232
A4,0.0234
A5,0.022
A6,0.0236
A7,0.0235
A8,0.023
A9,0.0241
A10,0.0231
A11,0.024
A12,0.029
B1,0.0227
B2,0.0256
B3,0.0222
B4,0.0219
B5,0.0216
B6,0.0221
B7,0.0224
B8,0.0215
B9,0.0222
B10,0.022
B11,0.0224
B12,0.0227
C1,0.0218
C2,0.0225
C3,0.0217
C4,0.0219
C5,0.0214
C6,0.0221
C7,0.0219
C8,0.022
C9,0.0226
C10,0.0235
C11,0.0228
C12,0.0218
D1,0.0252
D2,0.0278
D3,0.0253
D4,0.0303
D5,0.0266
D6,0.0339
D7,0.0258
D8,0.0261
D9,0.0247
D10,0.027
D11,0.0249
D12,0.0265
E1,0.0239
E2,0.0343
E3,0.0236
E4,0.0235
E5,0.023
E6,0.0237
E7,0.0233
E8,0.024
E9,0.0237
E10,0.0235
E11,0.0237
E12,0.0234
F1,0.0229
F2,0.0227
F3,0.0218
F4,0.0214
F5,0.0215
F6,0.0216
F7,0.0223
F8,0.0217
F9,0.0233
F10,0.0225
F11,0.0226
F12,0.0432
G1,0.0237
G2,0.0247
G3,0.0262
G4,0.026
G5,0.0255
G6,0.0258
G7,0.0257
G8,0.0259
G9,0.0251
G10,0.0253
G11,0.0245
G12,0.0335
H1,0.0327
H2,0.0353
H3,0.0402
H4,0.039
H5,0.0379
H6,0.0399
H7,0.038
H8,0.0396
H9,0.0356
H10,0.0382
H11,0.0359
H12,0.0427
