,fluorescence,wavelength (nm),Well
0,410670.0,340.0,A5
1,363241.0,345.0,A5
2,320568.0,350.0,A5
3,289339.0,355.0,A5
4,259767.0,360.0,A5
5,230550.0,365.0,A5
6,26277.0,370.0,A5
7,21409.0,375.0,A5
8,19234.0,380.0,A5
9,16354.0,385.0,A5
10,13579.0,390.0,A5
11,11566.0,395.0,A5
12,10353.0,400.0,A5
13,8195.0,405.0,A5
14,7625.0,410.0,A5
15,6713.0,415.0,A5
16,5896.0,420.0,A5
17,5164.0,425.0,A5
18,4528.0,430.0,A5
19,3993.0,435.0,A5
20,3454.0,440.0,A5
21,3056.0,445.0,A5
22,2616.0,450.0,A5
23,2250.0,455.0,A5
24,1939.0,460.0,A5
25,1728.0,465.0,A5
26,1566.0,470.0,A5
27,1418.0,475.0,A5
28,1264.0,480.0,A5
29,1166.0,485.0,A5
30,1043.0,490.0,A5
31,935.0,495.0,A5
32,849.0,500.0,A5
33,752.0,505.0,A5
34,688.0,510.0,A5
35,617.0,515.0,A5
36,571.0,520.0,A5
37,515.0,525.0,A5
38,479.0,530.0,A5
39,437.0,535.0,A5
40,398.0,540.0,A5
41,375.0,545.0,A5
42,334.0,550.0,A5
43,323.0,555.0,A5
44,292.0,560.0,A5
45,267.0,565.0,A5
46,254.0,570.0,A5
47,237.0,575.0,A5
48,220.0,580.0,A5
49,209.0,585.0,A5
50,191.0,590.0,A5
51,178.0,595.0,A5
52,169.0,600.0,A5
53,412928.0,340.0,A6
54,364168.0,345.0,A6
55,320693.0,350.0,A6
56,287947.0,355.0,A6
57,260148.0,360.0,A6
58,234232.0,365.0,A6
59,26458.0,370.0,A6
60,21472.0,375.0,A6
61,19260.0,380.0,A6
62,16318.0,385.0,A6
63,13421.0,390.0,A6
64,11528.0,395.0,A6
65,10149.0,400.0,A6
66,8030.0,405.0,A6
67,7393.0,410.0,A6
68,6599.0,415.0,A6
69,5722.0,420.0,A6
70,4980.0,425.0,A6
71,4367.0,430.0,A6
72,3859.0,435.0,A6
73,3364.0,440.0,A6
74,2934.0,445.0,A6
75,2513.0,450.0,A6
76,2158.0,455.0,A6
77,1871.0,460.0,A6
78,1663.0,465.0,A6
79,1499.0,470.0,A6
80,1354.0,475.0,A6
81,1228.0,480.0,A6
82,1103.0,485.0,A6
83,981.0,490.0,A6
84,893.0,495.0,A6
85,807.0,500.0,A6
86,722.0,505.0,A6
87,650.0,510.0,A6
88,586.0,515.0,A6
89,540.0,520.0,A6
90,485.0,525.0,A6
91,453.0,530.0,A6
92,409.0,535.0,A6
93,377.0,540.0,A6
94,347.0,545.0,A6
95,318.0,550.0,A6
96,296.0,555.0,A6
97,275.0,560.0,A6
98,258.0,565.0,A6
99,240.0,570.0,A6
100,224.0,575.0,A6
101,206.0,580.0,A6
102,196.0,585.0,A6
103,180.0,590.0,A6
104,170.0,595.0,A6
105,163.0,600.0,A6
106,417730.0,340.0,B6
107,364925.0,345.0,B6
108,323968.0,350.0,B6
109,290769.0,355.0,B6
110,257862.0,360.0,B6
111,231662.0,365.0,B6
112,23635.0,370.0,B6
113,19257.0,375.0,B6
114,17333.0,380.0,B6
115,14758.0,385.0,B6
116,12021.0,390.0,B6
117,10307.0,395.0,B6
118,9058.0,400.0,B6
119,7156.0,405.0,B6
120,6511.0,410.0,B6
121,5802.0,415.0,B6
122,5043.0,420.0,B6
123,4435.0,425.0,B6
124,3814.0,430.0,B6
125,3399.0,435.0,B6
126,2924.0,440.0,B6
127,2570.0,445.0,B6
128,2204.0,450.0,B6
129,1916.0,455.0,B6
130,1661.0,460.0,B6
131,1469.0,465.0,B6
132,1329.0,470.0,B6
133,1201.0,475.0,B6
134,1100.0,480.0,B6
135,986.0,485.0,B6
136,893.0,490.0,B6
137,815.0,495.0,B6
138,729.0,500.0,B6
139,648.0,505.0,B6
140,589.0,510.0,B6
141,538.0,515.0,B6
142,485.0,520.0,B6
143,450.0,525.0,B6
144,415.0,530.0,B6
145,376.0,535.0,B6
146,348.0,540.0,B6
147,321.0,545.0,B6
148,292.0,550.0,B6
149,276.0,555.0,B6
150,253.0,560.0,B6
151,239.0,565.0,B6
152,221.0,570.0,B6
153,206.0,575.0,B6
154,191.0,580.0,B6
155,183.0,585.0,B6
156,167.0,590.0,B6
157,155.0,595.0,B6
158,145.0,600.0,B6
159,415768.0,340.0,B5
160,363987.0,345.0,B5
161,324344.0,350.0,B5
162,290823.0,355.0,B5
163,259960.0,360.0,B5
164,234446.0,365.0,B5
165,24470.0,370.0,B5
166,19910.0,375.0,B5
167,18033.0,380.0,B5
168,15300.0,385.0,B5
169,12867.0,390.0,B5
170,10907.0,395.0,B5
171,9616.0,400.0,B5
172,7603.0,405.0,B5
173,7015.0,410.0,B5
174,6238.0,415.0,B5
175,5442.0,420.0,B5
176,4720.0,425.0,B5
177,4158.0,430.0,B5
178,3644.0,435.0,B5
179,3198.0,440.0,B5
180,2774.0,445.0,B5
181,2408.0,450.0,B5
182,2036.0,455.0,B5
183,1769.0,460.0,B5
184,1573.0,465.0,B5
185,1430.0,470.0,B5
186,1288.0,475.0,B5
187,1169.0,480.0,B5
188,1055.0,485.0,B5
189,962.0,490.0,B5
190,861.0,495.0,B5
191,769.0,500.0,B5
192,695.0,505.0,B5
193,620.0,510.0,B5
194,569.0,515.0,B5
195,517.0,520.0,B5
196,474.0,525.0,B5
197,436.0,530.0,B5
198,400.0,535.0,B5
199,365.0,540.0,B5
200,338.0,545.0,B5
201,306.0,550.0,B5
202,288.0,555.0,B5
203,272.0,560.0,B5
204,252.0,565.0,B5
205,233.0,570.0,B5
206,217.0,575.0,B5
207,205.0,580.0,B5
208,190.0,585.0,B5
209,175.0,590.0,B5
210,164.0,595.0,B5
211,154.0,600.0,B5
212,413040.0,340.0,C5
213,366931.0,345.0,C5
214,324431.0,350.0,C5
215,290214.0,355.0,C5
216,260611.0,360.0,C5
